,0,1,2
0,0,261000.0,6804750.0
1,1,261000.0,6805500.0
2,2,261000.0,6806250.0
3,3,261000.0,6807000.0
4,4,261750.0,6804750.0
5,5,261750.0,6805500.0
6,6,261750.0,6806250.0
7,7,261750.0,6807000.0
8,8,262500.0,6804750.0
9,9,262500.0,6805500.0
10,10,262500.0,6806250.0
11,11,262500.0,6807000.0
12,12,263250.0,6804750.0
13,13,263250.0,6805500.0
14,14,263250.0,6806250.0
15,15,263250.0,6807000.0
