,discr_hr,_step,_runtime,discr_sr,_timestamp,perceptual_loss,adversarial_loss,content_loss,epoch_test_psnr,epoch_test_ssim,epoch_test_lpips,epoch_test_mae
0,6.215824127197266,773,211,-2.5802853107452393,1654242500,,,,,,,
1,21.854904174804688,1857,474,-7.253464698791504,1654242763,,,,,,,
2,9.175800323486328,1995,495,-5.25858211517334,1654242784,,,,,,,
3,2.576781749725342,2396,579,-0.40338656306266785,1654242868,,,,,,,
4,-1.3558142185211182,2603,633,-4.969845771789551,1654242922,,,,,,,
5,,3116,751,,1654243040,0.09049414098262787,4.0833258628845215,0.04966088384389877,,,,
6,,3700,873,,1654243162,0.11068898439407349,6.528411388397217,0.04540487006306648,,,,
7,11.131998062133789,4124,950,-5.111973285675049,1654243239,,,,,,,
8,,4209,961,,1654243250,0.07590169459581375,3.6918187141418457,0.038983508944511414,,,,
9,8.715676307678223,4690,1064,-1.4102540016174316,1654243353,,,,,,,
10,,4904,1113,,1654243402,0.06626518070697784,3.6104531288146973,0.030160650610923767,,,,
11,,5907,1305,,1654243594,0.09072760492563248,5.183797836303711,0.038889627903699875,,,,
12,14.606813430786133,6336,1402,-6.187822341918945,1654243691,,,,,,,
13,,6429,1414,,1654243703,0.13341638445854187,8.397849082946777,0.04943789914250374,,,,
14,,7230,1580,,1654243869,0.1229701042175293,6.590688228607178,0.05706322193145752,,,,
15,,7793,1673,,1654243962,0.08665580302476883,3.9652256965637207,0.047003548592329025,,,,
16,4.735733985900879,8782,1884,-0.9008912444114685,1654244173,,,,,,,
17,-0.2652150094509125,8916,1901,-0.16957569122314453,1654244190,,,,,,,
18,,9619,2033,,1654244322,0.0934644341468811,3.7397725582122803,0.056066714227199554,,,,
19,,9734,2068,,1654244357,0.05853332206606865,0.498796284198761,0.05354535952210426,,,,
20,,10944,2307,,1654244596,0.0711100697517395,2.838289260864258,0.04272717610001564,,,,
21,,11014,2316,,1654244605,0.09639491140842438,3.3370654582977295,0.06302425265312195,,,,
22,,11401,2386,,1654244675,0.0734151154756546,2.62446928024292,0.04717042297124863,,,,
23,,12044,2532,,1654244821,0.07879826426506042,2.302474021911621,0.055773522704839706,,,,
24,,13063,2726,,1654245015,0.0669073536992073,2.738773822784424,0.03951961547136307,,,,
25,0.3045775890350342,13574,2832,-2.378563642501831,1654245121,,,,,,,
26,1.9085142612457275,13670,2845,-1.874821424484253,1654245134,,,,,,,
27,,13843,2867,,1654245156,0.0769352838397026,3.6552019119262695,0.04038326442241669,,,,
28,,16356,3372,,1654245661,0.07179027795791626,2.790877342224121,0.043881505727767944,,,,
29,2.528456687927246,16562,3419,-0.5263611674308777,1654245708,,,,,,,
30,1.916010856628418,17543,3606,-0.979390025138855,1654245895,,,,,,,
31,,17566,3609,,1654245898,0.056834626942873,3.048187732696533,0.02635275013744831,,,,
32,1.4637060165405273,17707,3627,-0.5732146501541138,1654245916,,,,,,,
33,2.0541253089904785,17818,3661,-2.5274107456207275,1654245950,,,,,,,
34,,17871,3668,,1654245957,0.08129873126745224,4.389129638671875,0.03740743547677994,,,,
35,,18706,3837,,1654246126,0.056423671543598175,1.311792016029358,0.04330575093626976,,,,
36,,20042,4091,,1654246380,0.07649464905261993,3.521216869354248,0.04128248244524002,,,,
37,2.2030904293060303,20057,4093,-1.0012151002883911,1654246382,,,,,,,
38,-2.858520984649658,20093,4097,-3.522063732147217,1654246386,,,,,,,
39,0.4387378394603729,20860,4258,-0.6443930864334106,1654246547,,,,,,,
40,,20879,4260,,1654246549,0.05415007099509239,1.4560627937316895,0.03958944231271744,,,,
41,6.022307395935059,21083,4307,-0.8127424120903015,1654246596,,,,,,,
42,,21597,4394,,1654246683,0.06103535741567612,2.5153956413269043,0.0358814001083374,,,,
43,2.7818069458007812,22108,4500,-2.0234813690185547,1654246789,,,,,,,
44,3.679046154022217,22269,4564,-2.4091153144836426,1654246853,,,,,,,
45,1.145634651184082,22558,4621,-2.1391847133636475,1654246910,,,,,,,
46,9.670825958251953,23025,4701,-3.1128034591674805,1654246990,,,,,,,
47,,23249,4751,,1654247040,0.05535638704895973,0.7350661158561707,0.04800572618842125,,,,
48,,24116,4926,,1654247215,0.08880546689033508,5.930385589599609,0.02950160950422287,,,,
49,,24579,5008,,1654247297,0.07009535282850266,2.7125627994537354,0.0429697260260582,,,,
50,4.577776908874512,25128,5121,-2.2232542037963867,1654247410,,,,,,,
51,3.544055461883545,25325,5166,-1.0868569612503052,1654247455,,,,,,,
52,,26765,5456,,1654247745,0.08683209121227264,4.083132743835449,0.04600076749920845,,,,
53,5.584069728851318,26818,5463,-0.8682896494865417,1654247752,,,,,,,
54,-0.5442644953727722,27197,5532,-2.0204050540924072,1654247821,,,,,,,
55,,27742,5643,,1654247932,0.08110696077346802,4.0636773109436035,0.0404701866209507,,,,
56,6.409665584564209,27761,5646,-1.4153579473495483,1654247935,,,,,,,
57,-1.6717844009399414,29053,5894,-3.2972795963287354,1654248183,,,,,,,
58,2.6725053787231445,29105,5900,-0.21099978685379028,1654248189,,,,,,,
59,-0.5594136118888855,29565,6001,-4.109102725982666,1654248290,,,,,,,
60,,29648,6011,,1654248300,0.039758458733558655,1.2339699268341064,0.02741875872015953,,,,
61,3.1707539558410645,31216,6315,0.09177085757255554,1654248604,,,,,,,
62,8.388106346130371,31252,6320,0.03630775213241577,1654248609,,,,,,,
63,7.149889945983887,31407,6361,-2.032559394836426,1654248650,,,,,,,
64,1.7823991775512695,31656,6413,-3.6893465518951416,1654248702,,,,,,,
